,title,artist,cluster,origin,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
9274,can't stand me now,the libertines,1,0,-1.4672979769935675,1.1146489702507865,-0.3592700137057135,1.0456819524176075,0.7805108865553413,-0.3090354390199592,-0.6544255190655176,-0.39990450443436837,-0.6232708656600465,0.19565927289799598,1.5211204191065075,-0.4823269454913463
9275,same jeans,the view,1,0,-0.7679183535266557,1.272364681150999,-1.4677642526140027,1.272469670180362,0.7805108865553413,-0.49267187370474425,-0.6709179144844759,-0.4086052213634531,0.13890237793369797,0.8622076275264663,0.4249231561420168,-0.2931616200021321
9276,two doors down,mystery jets,2,0,-0.23235738060154337,1.2625074492197357,-1.1906406928869304,1.0558410860196281,-1.2812121102030212,-0.24429182422724666,-0.6623322849080207,-0.4086052213634531,-0.5927090907532597,1.3962743216076634,0.026802864559333565,-0.17308909661200608
9277,ldn,lily allen,5,0,0.46702224286536903,-0.38365028330123796,-0.08214645397864118,-0.25588234082950345,0.7805108865553413,-0.6927885012458561,-0.6400495811700577,-0.40858621830508557,1.1493120789335884,1.6819379021627223,-0.8571866808324199,-0.7446124508235616
9278,grace kelly,mika,5,0,0.4796236775224305,0.5675725980656718,-1.4677642526140027,0.28434452836029833,0.7805108865553413,-0.4714830543180382,-0.5917304565769838,-0.3376142971659457,1.0495185282175499,0.7669864340081133,-0.03745773909130342,-0.8061362113335875
9279,i don't feel like dancin',scissor sisters,5,0,0.6686451973783522,1.0555055786632064,0.47210066547550344,0.9844283527583656,0.7805108865553413,-0.6751311517569345,-0.620881663976111,-0.4086052213634531,0.9185394929027494,1.3838541659313564,-0.5618833550907564,1.2303609757856122
9280,will we talk?,sam fender,1,0,-1.9209496246477806,1.0653628105944697,-1.1906406928869304,1.7690720244908984,0.7805108865553413,-0.09714724515289956,-0.6936398829914668,-0.40724167617307416,-0.7174510291483079,0.3985218156110085,2.9867792216807523,-1.3147798537344029
9281,bad decisions,the strokes,1,0,-1.429493673022383,1.0505769626975747,-1.4677642526140027,0.9871175351824298,0.7805108865553413,-0.34081866810001815,-0.6448415604685442,0.4744526162152971,0.5318394838781,-0.48744928929888404,1.107193496281024,1.3315513713613127
9282,elvis ain't dead,scouting for girls,1,0,-0.5095889430568953,0.1683547048495077,0.7492242252025758,1.0280528676376306,0.7805108865553413,-0.39614502983197264,-0.6148916898530027,-0.4086052213634531,-0.5534153801588195,0.6883254480581699,1.178249474110808,0.04710120416071788
9283,love lockdown,kanye west,4,0,1.0025832157904815,-0.9110121916238253,-1.1906406928869304,-0.2887501260125114,-1.2812121102030212,-0.61980479002498,-0.4823135959282048,1.7557522236825034,-0.515992798640305,-1.650803870979631,-0.13421795838134348,0.8650029335199886
